count,mean,median,min,max,std,config,trial,num_exits
80,292.6,267.0,52,563,120.8870960855624,1 derë - pa pengesë,0,1
80,256.1875,224.0,57,491,95.96497977778144,1 derë - pa pengesë,1,1
80,267.0375,270.0,59,518,108.52412678178987,1 derë - pa pengesë,2,1
80,268.5875,273.5,68,404,80.28989565163228,1 derë - pa pengesë,3,1
80,279.55,287.5,51,461,94.94523421425637,1 derë - pa pengesë,4,1
80,223.5,202.0,39,408,86.31584443194656,1 derë - pa pengesë,5,1
80,298.6375,263.5,47,574,111.0187195645401,1 derë - pa pengesë,6,1
80,257.8875,240.5,26,529,124.17990917918245,1 derë - pa pengesë,7,1
80,295.6375,253.5,41,619,138.01922363841206,1 derë - pa pengesë,8,1
80,288.075,288.0,26,553,125.63347235112145,1 derë - pa pengesë,9,1
80,256.625,248.5,56,528,102.05664787263983,1 derë - pa pengesë,10,1
80,259.1375,249.0,60,445,100.50432126903797,1 derë - pa pengesë,11,1
80,328.425,411.0,1,562,152.87018798640892,1 derë - pa pengesë,12,1
80,277.4375,253.0,87,626,108.03284729076616,1 derë - pa pengesë,13,1
80,263.5,226.5,25,502,125.35429789201486,1 derë - pa pengesë,14,1
80,283.05,274.0,50,490,124.75404803051482,1 derë - pa pengesë,15,1
80,259.5125,248.0,36,565,121.94035363139636,1 derë - pa pengesë,16,1
80,280.1625,299.0,87,478,109.80328362007214,1 derë - pa pengesë,17,1
80,264.95,254.0,41,540,122.69911368873045,1 derë - pa pengesë,18,1
80,228.1875,221.0,34,479,111.7158330038764,1 derë - pa pengesë,19,1
80,223.9125,214.0,20,502,92.57877642175877,1 derë - pa pengesë,20,1
80,243.1375,243.0,70,407,80.27884898122295,1 derë - pa pengesë,21,1
80,279.5875,273.0,55,534,104.61688364575767,1 derë - pa pengesë,22,1
80,249.725,206.5,72,521,117.17262638944304,1 derë - pa pengesë,23,1
80,254.625,234.0,55,489,91.67365693043995,1 derë - pa pengesë,24,1
80,295.5,246.0,24,681,149.16693668504425,1 derë - pa pengesë,25,1
80,275.6,259.0,47,514,99.1403802695955,1 derë - pa pengesë,26,1
80,347.1,392.0,21,570,164.29292437594506,1 derë - pa pengesë,27,1
80,290.4625,298.0,69,528,104.12887972964081,1 derë - pa pengesë,28,1
80,299.4625,275.5,95,613,131.5586317721114,1 derë - pa pengesë,29,1
80,300.9625,274.0,29,551,134.79442159729757,1 derë - me pengesë,0,1
80,288.7,305.0,1,529,131.26741789187443,1 derë - me pengesë,1,1
80,302.7375,264.0,65,599,143.89733699325362,1 derë - me pengesë,2,1
80,361.4875,384.5,57,650,169.94234270407713,1 derë - me pengesë,3,1
80,330.825,309.0,42,662,149.66828112529387,1 derë - me pengesë,4,1
80,281.7875,258.5,15,505,135.7155751700961,1 derë - me pengesë,5,1
80,327.0,341.5,87,705,155.8025192350881,1 derë - me pengesë,6,1
80,346.75,366.0,50,609,139.84987486587178,1 derë - me pengesë,7,1
80,372.0125,455.0,50,553,140.67893354639136,1 derë - me pengesë,8,1
80,330.3,368.0,50,626,143.1785947689109,1 derë - me pengesë,9,1
80,348.2,378.0,42,567,117.15218734620366,1 derë - me pengesë,10,1
80,343.075,366.0,40,579,140.64065690617346,1 derë - me pengesë,11,1
80,298.95,262.5,43,704,141.90709108427245,1 derë - me pengesë,12,1
80,359.475,380.5,78,547,118.03812678537388,1 derë - me pengesë,13,1
80,319.2375,293.0,1,677,155.5357068127766,1 derë - me pengesë,14,1
80,380.975,308.5,58,699,206.49352138747597,1 derë - me pengesë,15,1
80,294.825,264.5,27,739,158.64455356235837,1 derë - me pengesë,16,1
80,306.7875,292.0,49,587,134.63447680200642,1 derë - me pengesë,17,1
80,347.2,307.0,24,542,147.02146101845133,1 derë - me pengesë,18,1
80,352.225,409.0,51,612,147.95058085387836,1 derë - me pengesë,19,1
80,310.5375,339.0,13,532,145.56553023896146,1 derë - me pengesë,20,1
80,291.25,281.0,49,733,128.68435219559524,1 derë - me pengesë,21,1
80,357.55,352.5,30,561,155.55279650330945,1 derë - me pengesë,22,1
80,303.3,285.0,1,560,129.13911103922,1 derë - me pengesë,23,1
80,313.7375,280.0,9,579,146.35229275194155,1 derë - me pengesë,24,1
80,276.0625,264.5,10,544,118.58102122072486,1 derë - me pengesë,25,1
80,309.7,278.0,108,571,118.39440442858775,1 derë - me pengesë,26,1
80,337.425,402.0,33,498,131.67391303899188,1 derë - me pengesë,27,1
80,349.8,379.0,40,617,142.24612472752995,1 derë - me pengesë,28,1
80,302.5875,334.0,37,516,128.9402665723551,1 derë - me pengesë,29,1
