count,mean,median,min,max,std,config,trial
80,133.425,132.0,39,204,38.43591256884634,Kontroll i barazuar (drejtkendesh),0
80,132.7125,132.0,50,226,43.931251333760116,Kontroll i barazuar (drejtkendesh),1
80,129.425,130.5,26,220,45.141658974831664,Kontroll i barazuar (drejtkendesh),2
80,119.775,124.5,18,205,39.15672834903345,Kontroll i barazuar (drejtkendesh),3
80,134.05,135.0,26,204,37.034409675327616,Kontroll i barazuar (drejtkendesh),4
80,137.45,137.0,40,221,38.50873277582632,Kontroll i barazuar (drejtkendesh),5
80,136.9,144.5,12,227,41.098844265988795,Kontroll i barazuar (drejtkendesh),6
80,135.45,133.0,40,213,39.99215548079398,Kontroll i barazuar (drejtkendesh),7
80,130.175,130.5,36,203,42.049011581724486,Kontroll i barazuar (drejtkendesh),8
80,133.6375,134.5,36,220,47.04153583536575,Kontroll i barazuar (drejtkendesh),9
80,135.2875,140.5,20,222,41.932741905937895,Kontroll i barazuar (drejtkendesh),10
80,131.875,127.0,14,219,42.898244427948335,Kontroll i barazuar (drejtkendesh),11
80,137.9875,142.5,46,213,41.35713171570291,Kontroll i barazuar (drejtkendesh),12
80,124.05,127.5,14,216,47.95333669308112,Kontroll i barazuar (drejtkendesh),13
80,127.85,133.5,38,210,45.44944994166596,Kontroll i barazuar (drejtkendesh),14
80,132.8125,137.5,21,209,39.90961467804469,Kontroll i barazuar (drejtkendesh),15
80,130.6625,130.5,47,231,42.90860745526473,Kontroll i barazuar (drejtkendesh),16
80,124.7,122.5,11,219,46.45115714382151,Kontroll i barazuar (drejtkendesh),17
80,133.875,137.5,38,211,37.63089654791658,Kontroll i barazuar (drejtkendesh),18
80,133.125,139.5,37,216,42.934361238988984,Kontroll i barazuar (drejtkendesh),19
80,135.6625,136.5,13,219,48.39678288636549,Kontroll i barazuar (drejtkendesh),20
80,128.375,128.0,24,214,39.470677407412204,Kontroll i barazuar (drejtkendesh),21
80,127.3125,135.0,15,204,43.84563654173583,Kontroll i barazuar (drejtkendesh),22
80,131.95,136.0,38,205,37.90016490729295,Kontroll i barazuar (drejtkendesh),23
80,132.4125,127.0,53,210,39.131091778150015,Kontroll i barazuar (drejtkendesh),24
80,134.5375,139.5,46,202,40.03059572064848,Kontroll i barazuar (drejtkendesh),25
80,131.775,132.5,34,241,41.05605162457783,Kontroll i barazuar (drejtkendesh),26
80,137.0875,135.0,31,212,39.702705748475125,Kontroll i barazuar (drejtkendesh),27
80,138.95,136.5,41,228,38.15425926420273,Kontroll i barazuar (drejtkendesh),28
80,133.7375,138.5,28,218,43.400963050950836,Kontroll i barazuar (drejtkendesh),29
80,139.025,132.5,44,239,49.866565702883534,L-forme (barazuar),0
80,137.0,136.0,54,230,43.071452262490524,L-forme (barazuar),1
80,130.7375,132.0,43,236,42.576033090812956,L-forme (barazuar),2
80,131.525,124.0,1,247,48.49741616828674,L-forme (barazuar),3
80,128.6625,127.5,1,220,43.644284777620086,L-forme (barazuar),4
80,134.025,131.5,41,238,46.63018737899302,L-forme (barazuar),5
80,129.5125,130.5,37,224,46.28714555629889,L-forme (barazuar),6
80,140.4375,139.5,34,242,46.14023291824609,L-forme (barazuar),7
80,136.2375,134.5,52,235,44.75607326106704,L-forme (barazuar),8
80,133.15,135.0,41,225,44.812693514226524,L-forme (barazuar),9
80,134.5,128.0,52,235,46.87829988384817,L-forme (barazuar),10
80,131.35,126.0,46,233,41.79267280277728,L-forme (barazuar),11
80,130.25,134.0,16,225,48.483373438736706,L-forme (barazuar),12
80,138.6,135.0,9,236,51.945789049739155,L-forme (barazuar),13
80,135.2625,131.5,20,229,46.723052059449195,L-forme (barazuar),14
80,131.7,131.0,24,228,42.080993334283356,L-forme (barazuar),15
80,124.3625,126.0,28,226,49.03448881909548,L-forme (barazuar),16
80,138.225,137.5,35,246,47.27287144864378,L-forme (barazuar),17
80,127.85,129.5,23,247,41.50153611614876,L-forme (barazuar),18
80,134.0,137.0,24,226,44.972491592083266,L-forme (barazuar),19
80,120.875,117.0,34,205,40.3996828576661,L-forme (barazuar),20
80,135.625,133.5,14,245,47.468245965065954,L-forme (barazuar),21
80,129.5875,128.5,34,238,45.66089512646462,L-forme (barazuar),22
80,132.8875,140.0,45,223,44.07209824537516,L-forme (barazuar),23
80,125.5625,122.5,29,248,42.277903138046,L-forme (barazuar),24
80,131.9,128.5,27,228,48.41244674667869,L-forme (barazuar),25
80,126.575,125.0,27,223,43.73950588426897,L-forme (barazuar),26
80,129.9,127.5,47,225,42.96440387111172,L-forme (barazuar),27
80,121.3,127.0,32,217,40.72480816406629,L-forme (barazuar),28
80,123.8125,124.0,31,224,42.52825347636557,L-forme (barazuar),29
80,136.9375,136.5,49,249,46.745679947456104,Trekendesh (barazuar),0
80,137.55,140.5,23,252,45.26336819106594,Trekendesh (barazuar),1
80,133.975,134.0,44,228,45.39960765248969,Trekendesh (barazuar),2
80,143.15,145.5,40,248,42.968331361596995,Trekendesh (barazuar),3
80,137.125,135.5,32,247,43.53543815100521,Trekendesh (barazuar),4
80,130.1625,127.5,27,216,45.45889455046174,Trekendesh (barazuar),5
80,135.825,132.0,40,259,49.54840436381378,Trekendesh (barazuar),6
80,138.0625,131.0,32,241,47.17158672071568,Trekendesh (barazuar),7
80,142.925,140.0,55,251,39.46541999016354,Trekendesh (barazuar),8
80,136.1625,128.5,34,251,44.46696632051708,Trekendesh (barazuar),9
80,133.525,130.0,23,269,47.74541208325676,Trekendesh (barazuar),10
80,140.5,140.5,46,233,45.15418031589102,Trekendesh (barazuar),11
80,134.0,131.5,37,234,46.69047011971501,Trekendesh (barazuar),12
80,138.95,135.0,53,242,44.777477597560136,Trekendesh (barazuar),13
80,133.225,129.5,17,257,52.34309290632337,Trekendesh (barazuar),14
80,139.375,146.5,23,231,50.08002970246723,Trekendesh (barazuar),15
80,129.7375,124.0,51,240,46.883297598931755,Trekendesh (barazuar),16
