count,mean,median,min,max,std,config,trial
80,142.15,147.5,37,232,49.32623541281049,Poligon - drejtkëndësh (kontroll),0
80,134.325,126.0,37,225,44.93572493017109,Poligon - drejtkëndësh (kontroll),1
80,142.825,146.0,36,236,49.3978175125177,Poligon - drejtkëndësh (kontroll),2
80,144.1875,150.5,34,228,50.447025122895006,Poligon - drejtkëndësh (kontroll),3
80,147.4,153.0,34,241,47.726460166243214,Poligon - drejtkëndësh (kontroll),4
80,142.05,137.5,22,237,53.687731373191774,Poligon - drejtkëndësh (kontroll),5
80,143.6375,150.5,34,218,48.29317854262649,Poligon - drejtkëndësh (kontroll),6
80,141.7875,141.0,32,244,49.3347478330436,Poligon - drejtkëndësh (kontroll),7
80,137.6,139.5,27,236,45.584427165425694,Poligon - drejtkëndësh (kontroll),8
80,141.0625,151.5,34,235,49.20958843304829,Poligon - drejtkëndësh (kontroll),9
80,148.9875,154.5,1,260,49.2185162692863,Poligon - drejtkëndësh (kontroll),10
80,139.9875,146.0,32,233,50.738420784943635,Poligon - drejtkëndësh (kontroll),11
80,142.3,148.0,28,222,46.77964300847111,Poligon - drejtkëndësh (kontroll),12
80,141.375,138.0,20,225,48.55135811694664,Poligon - drejtkëndësh (kontroll),13
80,153.325,161.5,30,230,47.01669251446767,Poligon - drejtkëndësh (kontroll),14
80,147.6375,157.0,17,226,50.52802285613401,Poligon - drejtkëndësh (kontroll),15
80,145.9875,150.0,63,221,43.60862694181049,Poligon - drejtkëndësh (kontroll),16
80,143.65,138.5,33,241,51.9083567453257,Poligon - drejtkëndësh (kontroll),17
80,140.7875,139.5,14,232,47.85569290847224,Poligon - drejtkëndësh (kontroll),18
80,140.3875,145.5,36,229,44.88944579464086,Poligon - drejtkëndësh (kontroll),19
80,139.225,142.5,20,232,44.86451130905139,Poligon - drejtkëndësh (kontroll),20
80,143.4,147.0,34,228,48.35560980899734,Poligon - drejtkëndësh (kontroll),21
80,148.1,156.0,24,223,45.6480010515247,Poligon - drejtkëndësh (kontroll),22
80,140.6125,139.5,1,234,50.23382668829839,Poligon - drejtkëndësh (kontroll),23
80,151.475,157.5,24,235,47.32704697105029,Poligon - drejtkëndësh (kontroll),24
80,142.5875,148.5,32,246,49.9211112030772,Poligon - drejtkëndësh (kontroll),25
80,140.2,141.0,20,240,47.54035128183215,Poligon - drejtkëndësh (kontroll),26
80,149.9625,156.5,47,258,50.16708177430694,Poligon - drejtkëndësh (kontroll),27
80,152.925,159.0,2,241,41.47793841308895,Poligon - drejtkëndësh (kontroll),28
80,147.3,160.0,1,233,44.0435579852491,Poligon - drejtkëndësh (kontroll),29
80,143.05,143.5,73,230,37.01043771694682,Poligon - L-formë,0
80,138.15,143.0,51,252,42.89787290763961,Poligon - L-formë,1
80,125.6375,124.0,30,212,41.325913102434896,Poligon - L-formë,2
80,132.6875,129.0,51,231,46.02406809214066,Poligon - L-formë,3
80,128.1875,130.5,34,218,43.65578247781157,Poligon - L-formë,4
80,120.275,112.5,54,216,44.24815674127003,Poligon - L-formë,5
80,136.025,133.5,15,248,47.249596559124186,Poligon - L-formë,6
80,134.8,125.5,39,240,49.632751283804524,Poligon - L-formë,7
80,128.8875,128.5,37,226,45.28962181063118,Poligon - L-formë,8
80,129.525,128.0,47,223,41.738164490068314,Poligon - L-formë,9
80,132.975,133.0,40,239,47.21704538617384,Poligon - L-formë,10
80,139.175,133.0,44,232,42.86338034966444,Poligon - L-formë,11
80,128.3625,125.0,43,240,44.01455547600134,Poligon - L-formë,12
80,129.1125,129.5,37,232,44.59147725462793,Poligon - L-formë,13
80,131.3625,128.0,32,243,47.47584747795452,Poligon - L-formë,14
80,132.3375,132.0,33,218,42.96683132079907,Poligon - L-formë,15
80,128.6375,121.0,48,227,47.72820019391052,Poligon - L-formë,16
80,124.075,125.0,27,218,44.12787526042921,Poligon - L-formë,17
80,131.55,130.5,31,248,47.67281720225898,Poligon - L-formë,18
80,124.9625,124.5,13,229,45.279808897012806,Poligon - L-formë,19
80,140.3125,138.5,28,238,47.01584673011856,Poligon - L-formë,20
80,125.1,126.5,30,235,46.52461713974657,Poligon - L-formë,21
80,130.9125,127.5,38,224,42.11596898742804,Poligon - L-formë,22
80,130.075,130.5,25,219,38.70813060585592,Poligon - L-formë,23
80,142.825,134.5,45,245,44.47605395041246,Poligon - L-formë,24
80,132.475,130.5,33,246,47.591484269772465,Poligon - L-formë,25
80,133.975,126.5,34,243,49.41836070733225,Poligon - L-formë,26
80,126.675,125.0,30,219,43.08908649530644,Poligon - L-formë,27
80,140.1,138.5,43,240,46.05583567801153,Poligon - L-formë,28
80,142.3875,141.5,37,237,47.28887124630911,Poligon - L-formë,29
80,143.5625,145.5,16,291,69.329258569164,Poligon - korridor i ngushtë,0
80,142.4375,139.5,23,364,80.57432031205724,Poligon - korridor i ngushtë,1
80,158.85,160.5,38,282,66.22274911237074,Poligon - korridor i ngushtë,2
