count,mean,median,min,max,std,config,trial,num_exits
80,263.125,293.0,19,355,80.88964318749342,1 derë - e ngushtë (15px),0,1
80,257.575,256.5,39,415,90.70650128298414,1 derë - e ngushtë (15px),1,1
80,265.6125,242.0,25,401,98.96937578741213,1 derë - e ngushtë (15px),2,1
80,266.9,292.0,51,392,79.24149796665886,1 derë - e ngushtë (15px),3,1
80,268.525,264.0,34,399,82.47696269262103,1 derë - e ngushtë (15px),4,1
80,285.0625,285.5,41,425,93.27249644857802,1 derë - e ngushtë (15px),5,1
80,294.6875,320.0,63,428,86.20956932817842,1 derë - e ngushtë (15px),6,1
80,264.125,268.0,42,446,97.2412431790133,1 derë - e ngushtë (15px),7,1
80,280.5375,269.0,9,461,95.7040939236666,1 derë - e ngushtë (15px),8,1
80,249.2875,267.0,65,456,82.63764180898436,1 derë - e ngushtë (15px),9,1
80,275.275,269.5,11,449,102.56387948493368,1 derë - e ngushtë (15px),10,1
80,260.35,287.0,50,466,92.14744977480386,1 derë - e ngushtë (15px),11,1
80,267.6125,248.0,60,469,101.86111791920409,1 derë - e ngushtë (15px),12,1
80,259.4625,263.5,30,428,93.063814631413,1 derë - e ngushtë (15px),13,1
80,265.0625,260.5,62,451,74.73927076008971,1 derë - e ngushtë (15px),14,1
80,279.2375,288.0,65,394,84.41049160945576,1 derë - e ngushtë (15px),15,1
80,252.9125,264.0,35,393,74.0518726552543,1 derë - e ngushtë (15px),16,1
80,243.55,251.5,1,430,100.98897217023253,1 derë - e ngushtë (15px),17,1
80,257.975,261.0,85,376,64.57727444697554,1 derë - e ngushtë (15px),18,1
80,271.95,272.5,57,430,90.68239906398595,1 derë - e ngushtë (15px),19,1
80,279.5,315.0,37,404,89.91106717195609,1 derë - e ngushtë (15px),20,1
80,247.825,265.5,27,393,77.66688081157889,1 derë - e ngushtë (15px),21,1
80,265.4875,271.5,52,481,103.5146117403239,1 derë - e ngushtë (15px),22,1
80,264.325,264.0,38,412,102.20687048824067,1 derë - e ngushtë (15px),23,1
80,273.325,248.5,35,523,113.77837832822192,1 derë - e ngushtë (15px),24,1
80,276.7625,328.0,55,453,93.43329756435871,1 derë - e ngushtë (15px),25,1
80,298.1625,289.0,65,519,96.15033070015932,1 derë - e ngushtë (15px),26,1
80,265.9375,272.5,4,460,106.29844116331151,1 derë - e ngushtë (15px),27,1
80,264.1,252.5,76,443,83.71000537570166,1 derë - e ngushtë (15px),28,1
80,240.1375,226.5,26,448,90.03412460700666,1 derë - e ngushtë (15px),29,1
80,275.625,289.5,49,506,86.75905932523703,1 derë - mesatare (30px),0,1
80,286.6875,282.0,32,422,94.36002778586916,1 derë - mesatare (30px),1,1
80,259.5875,259.0,1,413,106.66368802807261,1 derë - mesatare (30px),2,1
80,261.0,284.5,59,377,76.10683280757385,1 derë - mesatare (30px),3,1
80,271.8125,286.0,32,403,92.29492046559226,1 derë - mesatare (30px),4,1
80,277.85,266.5,25,449,106.20335446679638,1 derë - mesatare (30px),5,1
80,281.0,262.5,54,429,93.8789113699131,1 derë - mesatare (30px),6,1
80,280.4375,297.5,46,500,97.42892842349237,1 derë - mesatare (30px),7,1
80,259.0,278.0,59,401,93.68457717255279,1 derë - mesatare (30px),8,1
80,267.3,271.0,37,456,108.98720108342998,1 derë - mesatare (30px),9,1
80,288.8,314.0,56,443,99.57627729534782,1 derë - mesatare (30px),10,1
80,273.525,241.0,46,457,97.64015247325251,1 derë - mesatare (30px),11,1
80,272.25,301.0,63,403,100.09801446582244,1 derë - mesatare (30px),12,1
80,272.25,275.5,60,446,92.28102459335831,1 derë - mesatare (30px),13,1
80,301.475,302.0,29,414,100.29942360253123,1 derë - mesatare (30px),14,1
80,249.8125,246.0,44,376,74.46275809926732,1 derë - mesatare (30px),15,1
80,269.2875,277.0,45,363,79.83251119531441,1 derë - mesatare (30px),16,1
80,264.275,256.0,27,473,100.13652867460506,1 derë - mesatare (30px),17,1
80,259.1125,251.0,30,361,76.63990373004131,1 derë - mesatare (30px),18,1
80,265.425,308.0,16,478,85.64531145953057,1 derë - mesatare (30px),19,1
80,298.075,317.0,39,473,102.06624993111092,1 derë - mesatare (30px),20,1
80,267.375,300.0,73,443,84.95636747766467,1 derë - mesatare (30px),21,1
80,262.725,271.5,59,426,91.3260607658077,1 derë - mesatare (30px),22,1
80,271.675,299.0,1,405,94.99720719579076,1 derë - mesatare (30px),23,1
