count,mean,median,min,max,std,config,trial,num_exits
80,145.925,142.5,43,227,35.704262700691636,1 derë - e ngushtë (15px),0,1
80,132.9375,131.0,31,216,44.16909093189489,1 derë - e ngushtë (15px),1,1
80,146.4125,147.0,56,252,48.38535257441037,1 derë - e ngushtë (15px),2,1
80,141.725,143.5,27,242,50.83329986337696,1 derë - e ngushtë (15px),3,1
80,136.7125,133.0,19,237,51.88887013368088,1 derë - e ngushtë (15px),4,1
80,146.5,139.5,32,245,48.68906448064082,1 derë - e ngushtë (15px),5,1
80,137.9,135.5,27,240,51.06799389049858,1 derë - e ngushtë (15px),6,1
80,131.25,123.5,40,241,44.86521481058572,1 derë - e ngushtë (15px),7,1
80,140.3875,142.0,4,233,46.70612747541804,1 derë - e ngushtë (15px),8,1
80,139.5375,140.0,17,241,53.05161254617997,1 derë - e ngushtë (15px),9,1
80,143.5125,140.5,36,220,42.750729160448245,1 derë - e ngushtë (15px),10,1
80,141.075,142.5,25,243,52.155962027365575,1 derë - e ngushtë (15px),11,1
80,149.525,149.5,43,247,48.90602595795328,1 derë - e ngushtë (15px),12,1
80,135.55,141.0,28,224,46.73058420349568,1 derë - e ngushtë (15px),13,1
80,143.3875,148.0,1,232,48.47847299317502,1 derë - e ngushtë (15px),14,1
80,141.9375,147.5,5,250,48.47791862023369,1 derë - e ngushtë (15px),15,1
80,138.1875,140.0,43,231,42.70746238949348,1 derë - e ngushtë (15px),16,1
80,138.4375,139.0,31,228,43.1792322042669,1 derë - e ngushtë (15px),17,1
80,135.2,137.0,20,226,46.87600665585753,1 derë - e ngushtë (15px),18,1
80,134.95,136.0,21,232,47.54442659239882,1 derë - e ngushtë (15px),19,1
80,146.675,148.0,33,236,44.34911921335079,1 derë - e ngushtë (15px),20,1
80,135.95,141.5,27,233,51.182003673166214,1 derë - e ngushtë (15px),21,1
80,148.15,141.5,47,230,45.66237510248454,1 derë - e ngushtë (15px),22,1
80,140.5375,140.0,53,254,47.615896439634525,1 derë - e ngushtë (15px),23,1
80,142.2875,140.5,37,228,42.16817335088159,1 derë - e ngushtë (15px),24,1
80,131.575,133.5,26,234,50.962676293538586,1 derë - e ngushtë (15px),25,1
80,152.4,160.0,16,230,46.08161238498497,1 derë - e ngushtë (15px),26,1
80,152.6125,159.5,21,240,46.62818186193839,1 derë - e ngushtë (15px),27,1
80,135.775,133.5,34,223,46.89935367358488,1 derë - e ngushtë (15px),28,1
