config,mean_of_means,std_of_means,mean_max,overall_std
1 derë - e gjerë (60px),140.45458333333332,5.211043358171858,234.6,47.8382530806128
1 derë - e ngushtë (15px),140.92291666666668,5.772900502202805,235.23333333333332,47.192332028084586
1 derë - me pengesë,148.4525,5.550849771850715,242.1,48.63124473825817
1 derë - mesatare (30px),141.61875,4.310898315756604,237.13333333333333,48.042917761098444
1 derë - pengesë e rrotulluar 30°,149.47708333333333,6.2399480229424205,245.8,50.47016046043634
1 derë - pengesë rrethore,143.72291666666666,5.975449127663862,236.26666666666668,48.97867270974563
2 dyer - gjera (40px),123.20916666666668,5.318094856459299,214.76666666666668,49.464161104362084
2 dyer - ngushta (15px),124.46458333333334,5.25939438968636,219.7,49.74099697560884
3 dyer,118.08333333333333,6.173389372992337,212.63333333333333,50.556860801722706
Densitet i lartë (150 boid),141.7822222222222,4.725261802906012,242.56666666666666,48.93909768528344
Densitet i ulët (40 boid),141.71083333333334,9.219078520349408,230.26666666666668,46.422244759525704
