count,mean,median,min,max,std,config,trial,num_exits
80,136.5,133.0,11,252,52.416838897438296,E ngushtë (15px),0,1
80,143.6,142.5,22,250,45.66743916621557,E ngushtë (15px),1,1
80,142.6125,140.0,30,241,49.68538360272566,E ngushtë (15px),2,1
80,143.2625,145.5,29,234,48.11723801040538,E ngushtë (15px),3,1
80,140.8,142.0,33,248,46.806890518384144,E ngushtë (15px),4,1
80,140.3875,143.0,34,247,43.098577050176495,E ngushtë (15px),5,1
80,143.4,152.0,22,230,49.77439100581744,E ngushtë (15px),6,1
80,140.275,143.5,19,242,53.39873008789628,E ngushtë (15px),7,1
80,138.1125,135.0,1,236,50.141049487919574,E ngushtë (15px),8,1
80,141.6625,132.5,40,242,47.534446391538,E ngushtë (15px),9,1
80,138.75,135.0,41,233,46.57212148914842,E ngushtë (15px),10,1
80,135.3125,132.0,17,238,50.39062257751932,E ngushtë (15px),11,1
80,134.4125,136.5,49,233,45.36840689014769,E ngushtë (15px),12,1
80,135.7125,141.5,35,232,49.35184741982817,E ngushtë (15px),13,1
80,144.8375,147.5,51,240,46.954617384768454,E ngushtë (15px),14,1
80,138.75,137.0,35,219,47.258200346606515,E ngushtë (15px),15,1
80,154.5625,157.0,55,230,44.8154113419703,E ngushtë (15px),16,1
80,144.5375,148.0,52,258,48.583161627769755,E ngushtë (15px),17,1
80,146.5875,142.5,28,238,47.40877918434517,E ngushtë (15px),18,1
80,138.025,139.0,34,230,47.88396782849141,E ngushtë (15px),19,1
80,148.275,152.0,67,216,41.03260136769298,E ngushtë (15px),20,1
80,144.925,146.0,56,243,46.22736608330611,E ngushtë (15px),21,1
80,144.6375,147.0,17,243,50.659955524556075,E ngushtë (15px),22,1
80,145.3375,145.0,41,239,47.99451628832194,E ngushtë (15px),23,1
80,140.2125,136.0,37,230,44.48249480132606,E ngushtë (15px),24,1
80,129.8375,125.0,13,235,50.693057648459124,E ngushtë (15px),25,1
80,136.2625,142.5,12,224,48.413774834751315,E ngushtë (15px),26,1
80,141.5625,145.5,41,240,51.146809223547855,E ngushtë (15px),27,1
80,160.625,166.5,23,243,48.41213045301766,E ngushtë (15px),28,1
80,135.675,141.5,47,232,42.622111339069065,E ngushtë (15px),29,1
80,142.625,140.5,21,238,48.89411390954948,E ngushtë (15px),30,1
80,137.6875,136.5,46,237,49.528424603958484,E ngushtë (15px),31,1
80,140.575,141.0,49,234,42.917588177808874,E ngushtë (15px),32,1
80,141.85,136.5,53,232,45.01141521880866,E ngushtë (15px),33,1
